date,volume,close
2022-05-17,5.354,0.398
2022-05-18,7.804,0.4
2022-05-19,4.564999,0.365
2022-05-20,4.9635,0.327
2022-05-21,3.6069,0.3969
2022-05-22,8.105901,0.42
2022-05-23,5.664,0.34
2022-05-24,8.029244,0.44
2022-05-25,5.648,0.46
2022-05-26,2.984789,0.408915
2022-05-27,4.201,0.42
2022-05-28,3.36375,0.33075
2022-05-29,4.77,0.333
2022-05-30,5.887299,0.344364
2022-05-31,6.12036,0.34036
2022-06-01,4.519,0.4
2022-06-02,3.63325,0.415
2022-06-03,2.9509,0.36
2022-06-04,1.445,0.3
2022-06-05,2.45,0.38
2022-06-06,2.71689,0.38
2022-06-07,3.3599,0.3769
2022-06-08,1.48,0.35
2022-06-09,3.094,0.347
2022-06-10,2.869,0.339
2022-06-11,1.51,0.32
2022-06-12,3.7045,0.3
2022-06-13,3.7547,0.328
2022-06-14,2.488,0.31
2022-06-15,4.698,0.29
2022-06-16,3.162,0.3
2022-06-17,8.104625,0.284625
2022-06-18,3.598,0.329
2022-06-19,4.0994,0.3169
2022-06-20,3.1165,0.35
2022-06-21,7.1732,0.385
2022-06-22,1.58,0.38
2022-06-23,2.894,0.385
2022-06-24,4.515,0.4
2022-06-25,3.3365,0.35
2022-06-26,2.0,0.4
2022-06-27,6.20539,0.335
2022-06-28,3.0381,0.3052
2022-06-29,1.288,0.398
2022-06-30,4.9885,0.299
2022-07-01,5.703965,0.301
2022-07-02,2.3267,0.3649
2022-07-03,3.337,0.4
2022-07-04,2.929,0.4
2022-07-05,0.7628,0.3378
2022-07-06,0.85,0.4
2022-07-07,2.9978,0.3388
2022-07-08,1.9098,0.3679
2022-07-09,4.632,0.314
2022-07-10,8.1803,0.302
2022-07-11,3.6178,0.311
2022-07-12,3.497,0.3
2022-07-13,4.588299,0.3442
2022-07-14,25.5914,0.347
2022-07-15,6.4224,0.4
2022-07-16,1.09,0.5
2022-07-17,3.89711,0.33821
2022-07-18,1.693,0.309
2022-07-19,2.7153,0.185
2022-07-20,2.6661,0.2682
2022-07-21,5.4233,0.2665
2022-07-22,2.339,0.34
2022-07-23,0.42,0.42
2022-07-24,0.46,0.46
2022-07-25,2.708,0.26
2022-07-26,1.368,0.27
2022-07-27,4.79,0.27
2022-07-28,6.3344,0.23
2022-07-29,3.8506,0.24
2022-07-30,3.431,0.2341
2022-07-31,3.18659,0.26
2022-08-01,3.574,0.26
2022-08-02,0.939,0.29
2022-08-03,1.255,0.27
2022-08-04,2.24201,0.23
2022-08-05,6.738843,0.204
2022-08-06,10.328947,0.16
2022-08-07,6.093409,0.1888
2022-08-08,3.9338,0.1654
2022-08-09,0.2099,0.2099
